rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
97,map,palermo,Palermo,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-26,26,0,26,26,snapshot_2026_03_31.json,snapshot_2026_03_30.json
98,map,pianura-veneta,Pianura Veneta,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-6,26,20,26,26,snapshot_2026_03_31.json,snapshot_2026_03_30.json
99,map,knoxville,Knoxville,rslurry,rslurry,https://github.com/rslurry,0,-24,24,0,24,24,snapshot_2026_03_31.json,snapshot_2026_03_30.json
100,map,piedmont-triad,Piedmont Triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,0,-3,21,18,21,21,snapshot_2026_03_31.json,snapshot_2026_03_30.json
101,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://github.com/ahkimn,0,-20,20,0,20,20,snapshot_2026_03_31.json,snapshot_2026_03_30.json
102,map,pianura-emiliana,Pianura Emiliana,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-14,17,3,17,17,snapshot_2026_03_31.json,snapshot_2026_03_30.json
103,map,san-antonio,San Antonio,rslurry,rslurry,https://github.com/rslurry,0,-16,16,0,16,16,snapshot_2026_03_31.json,snapshot_2026_03_30.json
104,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://github.com/ahkimn,0,-16,16,0,16,16,snapshot_2026_03_31.json,snapshot_2026_03_30.json
105,map,riviera-romagnola,Riviera Romagnola,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-14,14,0,14,14,snapshot_2026_03_31.json,snapshot_2026_03_30.json
106,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,0,0,0,0,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
