rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
52,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://github.com/ahkimn,71,71,snapshot_2026_03_31.json
53,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,68,54,snapshot_2026_03_31.json
54,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://github.com/ahkimn,68,5,snapshot_2026_03_31.json
55,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,nzh0172,https://github.com/nzh0172,66,27,snapshot_2026_03_31.json
56,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://github.com/ahkimn,65,6,snapshot_2026_03_31.json
57,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://github.com/ahkimn,64,10,snapshot_2026_03_31.json
58,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://github.com/ahkimn,63,13,snapshot_2026_03_31.json
59,map,naples,Naples,Maximilian284,Maximilian284,https://github.com/Maximilian284,61,36,snapshot_2026_03_31.json
60,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,59,0,snapshot_2026_03_31.json
61,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,58,0,snapshot_2026_03_31.json
62,map,orange-county,Orange County,rslurry,rslurry,https://github.com/rslurry,56,21,snapshot_2026_03_31.json
63,map,richmond,Richmond,rslurry,rslurry,https://github.com/rslurry,56,20,snapshot_2026_03_31.json
64,map,bari,Bari,Maximilian284,Maximilian284,https://github.com/Maximilian284,55,30,snapshot_2026_03_31.json
65,map,mfn-northwestar,Northwest Arkansas,crumpetime,crumpetime,https://github.com/crumpetime,55,0,snapshot_2026_03_31.json
66,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,54,38,snapshot_2026_03_31.json
