listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31
map,rochester,Rochester,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,50,13,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
map,jacksonville,Jacksonville,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,48,18,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
map,florence,Florence,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,47,8,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
map,greater-baltimore,Greater Baltimore,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,45,9,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
map,genoa,Genoa,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,44,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,21,0
map,bologna,Bologna,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,41,11,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,41,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
map,turin,Turin,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,40,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
map,catania,Catania,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,39,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,15,0
map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
map,orlando,Orlando,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,30,0
map,san-juan,San Juan,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,36,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,1,0,28,0
map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,34,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
map,memphis,Memphis,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,32,8,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
map,santa-barbara,Santa Barbara,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,32,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,21,0
map,barcelona,Barcelona,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,28,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
map,garda-lake,Garda Lake,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,26,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,21,0
map,palermo,Palermo,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,26,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
map,pianura-veneta,Pianura Veneta,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,17,0
map,knoxville,Knoxville,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,24,9,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
